Gene,Coefficient(Slope),P-Value,null_rejected
CTRC,0.2055676458784439,0.0046490289123604,True
PLEKHM2,-0.1145025862547676,0.0001119310170577,True
ZBTB17,-0.1427878489665777,5.007001233177279e-06,True
ANO7L1,-0.3513437872926913,0.0001650480356871,True
FBXO42,-0.079382124216627,0.0019479481511549,True
SZRD1,-0.0819795895525235,0.0036862347995428,True
RP11-430L17.1,-0.1932216915738874,0.0049958043323103,True
EIF1AXP1,0.376264638483014,8.368208858274848e-07,True
ATP13A2,-0.1054557541198946,0.0059764742917166,True
NBL1,-0.2683841809857227,0.0007356498405674,True
DDOST,-0.1348740807976631,4.428629997414995e-06,True
ALPL,0.4776553136462443,0.0017460775852066,True
LDLRAD2,-0.3430356074063369,0.0001781468414,True
LUZP1,-0.1737610280769661,0.0020737445092833,True
LINC01355,0.2448103653319718,0.0040642981106661,True
ELOA,-0.0875683627431398,0.0003613497276429,True
NIPAL3,-0.1416517390026505,0.0051775527851307,True
RUNX3,-0.3674095529328816,0.0050182596336814,True
TMEM50A,0.1430650984685955,0.0036074055613892,True
MTFR1L,-0.0597533595642813,0.0022025655011212,True
SH3BGRL3,-0.1418169435758156,0.005995495635981,True
UBXN11,-0.1996941869483571,6.952383504328988e-06,True
CD52,-0.1934022776410591,0.0074303509906259,True
DPPA2P2,0.3544019057794564,0.0048982640498805,True
ARID1A,0.1394874361248202,0.0012024311423482,True
TAF12,0.1503912513257481,0.0035865764436503,True
SERINC2,-0.2894378600992956,0.0009973776132136,True
SPOCD1,0.3683764386465978,0.0033272607675027,True
TMEM39B,-0.1274280720243191,2.4258261422509486e-06,True
KPNA6,-0.0557496082653415,0.0076889486953221,True
EIF3I,-0.1492776960629594,6.464169210152996e-05,True
MARCKSL1,-0.2472183748775491,0.0003838050987942,True
S100PBP,0.0863113386071641,0.0016428128682249,True
AK2,-0.0992123201020181,0.0025715806632645,True
TRIM62,-0.1371882792133429,0.0003274457460305,True
RP11-415J8.7,-0.235525842214219,0.0076987141862449,True
RP11-415J8.3,0.3058416566877493,0.0028290701766137,True
NCDN,-0.154808777101565,0.0001857340946804,True
TFAP2E,-0.1162527381376696,0.0054366641482391,True
PSMB2,-0.121715736293046,8.038777241836224e-05,True
AGO4,0.3041485777467357,8.867478307331286e-05,True
AGO3,0.1085189305193265,0.0007490093462943,True
MEAF6,-0.1012624877903257,0.001679830890431,True
MTF1,0.1429903881462813,0.0068076815988029,True
RRAGC,0.1364841831539644,0.0033574162871803,True
RP11-69E11.4,-0.1971836216094697,0.0062672667564166,True
PABPC4,-0.1609175241854987,0.0008236150623842,True
CAP1,0.1726233787782218,0.0072206149232455,True
PPT1,0.2407915381397984,0.0020290871512622,True
RP1-39G22.7,0.2551317586456419,7.784952273214034e-05,True
ZMPSTE24,0.2617352598720274,0.0025799226629735,True
RP1-228H13.2,0.3373657567781735,7.921043805446994e-06,True
RP1-228H13.5,0.2452131607232603,0.000639491605873,True
RP11-656D10.7,0.3198031772616732,0.0037374268831445,True
ZFP69,0.1781924713731047,0.0010740020487347,True
EXO5,0.1328707820516217,0.0053423340058884,True
PPIH,-0.1435475750912538,0.0066870286641116,True
YBX1,-0.294831698516231,6.20239008649167e-06,True
P3H1,-0.1248614210773942,1.8981972591040945e-05,True
RP5-1198O20.4,-0.3620705097329995,0.0032331820480609,True
